"app_name","enclosing_method","start_line","end_line","retried_method","retried_method_thrown_exception","is_exception_retried","github_link"
"hadoop_ee7d178","org.apache.hadoop.fs.FileUtil.replaceFile",1574,1580,"java.lang.Thread.sleep","java.lang.InterruptedException",false,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileUtil.java#L1574"
"hadoop_ee7d178","org.apache.hadoop.fs.aliyun.oss.AliyunOSSFileReaderTask.run",72,97,"org.apache.hadoop.io.IOUtils.readFully","java.io.IOException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSFileReaderTask.java#L72"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.SelfRenewingLease.SelfRenewingLease",79,107,"com.microsoft.azure.storage.blob.CloudBlob.acquireLease","com.microsoft.azure.storage.StorageException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfRenewingLease.java#L79"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.SelfRenewingLease.SelfRenewingLease",79,107,"java.lang.Thread.sleep","java.lang.InterruptedException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfRenewingLease.java#L79"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"java.io.BufferedReader.readLine","java.io.IOException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"java.lang.Integer.parseInt","java.lang.NumberFormatException",false,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"org.apache.hadoop.fs.azure.WasbRemoteCallHelper.getHttpRequest","java.io.IOException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"org.apache.hadoop.fs.azure.WasbRemoteCallHelper.getHttpRequest","java.net.URISyntaxException",false,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"org.apache.http.client.HttpClient.execute","java.io.IOException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
"hadoop_ee7d178","org.apache.hadoop.fs.azure.WasbRemoteCallHelper.retryableRequest",129,231,"org.apache.http.client.HttpClient.execute","org.apache.http.client.ClientProtocolException",true,"https://github.com/apache/hadoop/tree//ee7d178//hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java#L129"
