file_name,has_retry,has_sleep,has_cap,has_timeout,github_link
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_StripedDataStreamer.java,Yes,No,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/StripedDataStreamer.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_DFSStripedInputStream.java,Yes,No,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/DFSStripedInputStream.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_sps_ExternalSPSBlockMoveTaskHandler.java,Yes,No,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/sps/ExternalSPSBlockMoveTaskHandler.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_client_impl_LeaseRenewer.java,Yes,Yes,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/client/impl/LeaseRenewer.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_namenode_ReencryptionUpdater.java,Yes,Yes,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/ReencryptionUpdater.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_sps_ExternalStoragePolicySatisfier.java,Yes,Yes,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/sps/ExternalStoragePolicySatisfier.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_namenode_sps_BlockStorageMovementNeeded.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/sps/BlockStorageMovementNeeded.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_protocol_CacheDirectiveIterator.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/protocol/CacheDirectiveIterator.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_protocol_ReencryptionStatus.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/protocol/ReencryptionStatus.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_security_token_delegation_DelegationTokenSecretManager.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/security/token/delegation/DelegationTokenSecretManager.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_datanode_fsdataset_impl_FsVolumeList.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/impl/FsVolumeList.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_namenode_RedundantEditLogInputStream.java,Yes,No,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/RedundantEditLogInputStream.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_StripeReader.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/StripeReader.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_server_namenode_ha_ObserverReadProxyProvider.java,Yes,No,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/server/namenode/ha/ObserverReadProxyProvider.java
hadoop-hdfs-project_hadoop-hdfs-client_src_main_java_org_apache_hadoop_hdfs_DFSInotifyEventInputStream.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/DFSInotifyEventInputStream.java
hadoop-hdfs-project_hadoop-hdfs-rbf_src_main_java_org_apache_hadoop_hdfs_rbfbalance_RouterFedBalance.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-rbf/src/main/java/org/apache/hadoop/hdfs/rbfbalance/RouterFedBalance.java
hadoop-hdfs-project_hadoop-hdfs_src_main_java_org_apache_hadoop_hdfs_server_namenode_sps_BlockStorageMovementAttemptedItems.java,Yes,Yes,No,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/sps/BlockStorageMovementAttemptedItems.java
server_src_main_java_org_elasticsearch_action_admin_cluster_health_TransportClusterHealthAction.java,Yes,No,No,Yes,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java
server_src_main_java_org_elasticsearch_action_admin_cluster_reroute_TransportClusterRerouteAction.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/admin/cluster/reroute/TransportClusterRerouteAction.java
server_src_main_java_org_elasticsearch_action_bulk_BulkPrimaryExecutionContext.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/BulkPrimaryExecutionContext.java
server_src_main_java_org_elasticsearch_action_bulk_BulkProcessor.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/BulkProcessor.java
server_src_main_java_org_elasticsearch_action_bulk_BulkRequestHandler.java,Yes,Yes,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/BulkRequestHandler.java
server_src_main_java_org_elasticsearch_action_bulk_BulkRequestParser.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/BulkRequestParser.java
server_src_main_java_org_elasticsearch_action_bulk_BulkShardRequest.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/BulkShardRequest.java
server_src_main_java_org_elasticsearch_action_bulk_Retry.java,Yes,Yes,Yes,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/Retry.java
server_src_main_java_org_elasticsearch_action_bulk_TransportShardBulkAction.java,Yes,No,Yes,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/bulk/TransportShardBulkAction.java
server_src_main_java_org_elasticsearch_action_support_RetryableAction.java,Yes,Yes,No,Yes,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/RetryableAction.java
server_src_main_java_org_elasticsearch_action_support_broadcast_TransportBroadcastAction.java,Yes,No,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/broadcast/TransportBroadcastAction.java
server_src_main_java_org_elasticsearch_action_support_master_TransportMasterNodeAction.java,Yes,No,No,Yes,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/master/TransportMasterNodeAction.java
server_src_main_java_org_elasticsearch_action_support_replication_PendingReplicationActions.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/replication/PendingReplicationActions.java
server_src_main_java_org_elasticsearch_action_support_replication_ReplicationOperation.java,Yes,Yes,No,Yes,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/replication/ReplicationOperation.java
server_src_main_java_org_elasticsearch_action_support_single_instance_TransportInstanceSingleOperationAction.java,Yes,No,No,Yes,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/single/instance/TransportInstanceSingleOperationAction.java
server_src_main_java_org_elasticsearch_action_support_single_shard_TransportSingleShardAction.java,Yes,No,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/support/single/shard/TransportSingleShardAction.java
server_src_main_java_org_elasticsearch_action_update_TransportUpdateAction.java,Yes,No,Yes,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/update/TransportUpdateAction.java
server_src_main_java_org_elasticsearch_action_update_UpdateRequestBuilder.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/action/update/UpdateRequestBuilder.java
server_src_main_java_org_elasticsearch_cluster_NodeConnectionsService.java,Yes,Yes,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/NodeConnectionsService.java
server_src_main_java_org_elasticsearch_cluster_coordination_ClusterBootstrapService.java,Yes,Yes,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/coordination/ClusterBootstrapService.java
server_src_main_java_org_elasticsearch_cluster_coordination_ElectionSchedulerFactory.java,Yes,Yes,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/coordination/ElectionSchedulerFactory.java
server_src_main_java_org_elasticsearch_cluster_coordination_FollowersChecker.java,Yes,Yes,Yes,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/coordination/FollowersChecker.java
server_src_main_java_org_elasticsearch_cluster_coordination_LeaderChecker.java,Yes,Yes,Yes,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/coordination/LeaderChecker.java
server_src_main_java_org_elasticsearch_cluster_coordination_PublicationTransportHandler.java,Yes,No,No,No,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/cluster/coordination/PublicationTransportHandler.java
server_src_main_java_org_elasticsearch_common_ExponentiallyWeightedMovingAverage.java,No,N/A,N/A,N/A,https://github.com/elastic/elasticsearch/blob/755615781ab631354a008fbc49ca56eca0ba42bb/server/src/main/java/org/elasticsearch/common/ExponentiallyWeightedMovingAverage.java
hadoop-common-cap-fp-MutableGaugeFloat.java,No,N/A,N/A,N/A,N/A
hadoop-common-cap-fp-SequentialNumber.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178//hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/SequentialNumber.java
hadoop-common-cap-tp-MetricsSinkAdapter.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178//hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/impl/MetricsSinkAdapter.java
hadoop-common-timeout-fp-AsyncCallHandler.java,Yes,Yes,No,No,https://github.com/apache/hadoop/tree//ee7d178//hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/retry/AsyncCallHandler.java
hadoop-common-timeout-fp-RetryPolicy.java,No,N/A,N/A,N/A,https://github.com/apache/hadoop/tree//ee7d178//hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/retry/RetryPolicy.java
hadoop-common-timeout-fp-RetryProxy.java,No,N/A,N/A,N/A,N/A
hadoop-hdfs-cap-fp-AbstractNNFailoverProxyProvider.java,No,N/A,N/A,N/A,N/A
hadoop-hdfs-cap-fp-ExternalStoragePolicySatisfier.java,No,N/A,N/A,N/A,N/A
hadoop-hdfs-cap-tp-BlockStorageMovementNeeded.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/sps/BlockStorageMovementNeeded.java
hadoop-hdfs-cap-tp-DFSStripedInputStream.java,Yes,No,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/DFSStripedInputStream.java
hadoop-hdfs-cap-tp-ProvidedVolumeImpl.java,Yes,No,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/impl/ProvidedVolumeImpl.java
hadoop-hdfs-timeout-tp-BackupNode.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/BackupNode.java
hadoop-hdfs-timeout-tp-DebugAdmin.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/tools/DebugAdmin.java
hadoop-hdfs-timeout-tp-NameNodeProxies.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-cap-fp-AbstractLauncher.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-cap-fp-CgroupsLCEResourcesHandler.java,Yes,Yes,No,Yes,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/util/CgroupsLCEResourcesHandler.java
hadoop-yarn-cap-fp-ClientAMProxy.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-cap-fp-ContainerRetryContextPBImpl.java,No,N/A,N/A,N/A,N/A
